INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] @deprecated cmscockpit->(basecommerce,cms2,cms2lib,admincockpit,cockpit) 2105.20 [cibw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/web-content-management-system/deprecated/cmscockpit
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] customerreview 2105.20 [ci] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/base-commerce/customerreview
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] deltadetection 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/platform/deltadetection
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] embeddedserver 2105.20 [cibw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/platform/embeddedserver
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] groovynature 2105.20 [cibw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/platform/groovynature
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] integrationservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/integration-apis/integrationservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] inboundservices->(apiregistryservices,integrationservices) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/integration-apis/inboundservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] kymaintegrationservices->apiregistryservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/sap-btp-extensions-integration/kymaintegrationservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] npmancillary 2105.20 [c] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/npm-ancillary/npmancillary
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] odata2services->inboundservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/integration-apis/odata2services
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] ordercalculation 2105.20 [ci] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/rule-engine/ordercalculation
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] outboundservices->(apiregistryservices,integrationservices) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/integration-apis/outboundservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] outboundsync->(outboundservices,deltadetection) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/integration-apis/outboundsync
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] payment->basecommerce 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/base-commerce/payment
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] pcmbackoffice->(backoffice,classificationgroupsservices) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/backoffice-applications/pcmbackoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] permissionsfacades 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/web-services-commons/permissionsfacades
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.640 | INFO  [localhost-startStop-9] [hybrisserver] platformbackoffice->backoffice 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/backoffice-framework/platformbackoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.640 | INFO  [localhost-startStop-9] [hybrisserver] apiregistrybackoffice->(apiregistryservices,platformbackoffice) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/api-registry/apiregistrybackoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.640 | INFO  [localhost-startStop-9] [hybrisserver] basecommercebackoffice->(backoffice,basecommerce,apiregistrybackoffice) 2105.20 [c] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/base-commerce/basecommercebackoffice
